Date,momentum_3m_quarterly_n5,momentum_6m_quarterly_n5,momentum_12m_quarterly_n5,momentum_12m_skip_1m_quarterly_n5,risk_adjusted_momentum_quarterly_n5,low_vol_momentum_quarterly_n5,breakout_52w_quarterly_n5,drawdown_filtered_momentum_quarterly_n5,low_volatility_quarterly_n5,mean_reversion_rsi_quarterly_n5,high_liquidity_quarterly_n5,min_drawdown_quarterly_n5,spy_buy_and_hold
2020-03-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0349020752427756,1.0271136682876223,1.0,0.9514267735374455
2020-03-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9963251596448599,0.9872759760268801,1.0,0.9241853810074623
2020-03-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0277898019311607,1.0307520461448305,1.0,0.9630314305289099
2020-03-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9828321603772818,0.9983154611953371,1.0,0.9310186334072318
2020-03-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9554544896123588,0.9779735778220766,1.0,0.9156278933062036
2020-03-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8302348883626639,0.9111685565360659,1.0,0.8441226774197007
2020-03-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8828983781812368,0.9670649270423525,1.0,0.8878012439310135
2020-03-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8321067446706473,0.924983456457483,1.0,0.8445227420566251
2020-03-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.723934323715943,0.8348538613685242,1.0,0.763721021593185
2020-03-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8063202985284506,0.9252702932723633,1.0,0.8290085404834087
2020-03-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7053327484605489,0.8043266298659912,1.0,0.7382953783774651
2020-03-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7208513870713888,0.8568337406524292,1.0,0.7781575116927705
2020-03-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6413733274457633,0.8340750188239685,1.0,0.7387571222223233
2020-03-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6694740706441581,0.8545858215697877,1.0,0.7403271337398977
2020-03-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6559775721547783,0.8247218218215577,1.0,0.7084232156210301
2020-03-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.607377320003289,0.8291102962859741,1.0,0.6903101397526157
2020-03-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7002801805970849,0.9038276042350403,1.0,0.7528544539705131
2020-03-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7669017018554392,0.8880611552604308,1.0,0.7641247447294941
2020-03-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7954653383968058,0.9314243010886779,1.0,0.8087420512659856
2020-03-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7831761540172282,0.9003833275207154,1.0,0.7846528939451531
2020-03-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7771193229434672,0.9436246185668579,1.0,0.8101353727217344
2020-03-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7423610873696986,0.9380288559325806,1.0,0.7980597483447098
2020-04-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6876070038078014,0.8949946125396362,1.0,0.7621432808515589
2020-04-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6980991167781536,0.9106526058562865,1.0,0.7797299965620416
2020-04-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6878727309224789,0.8925973845847716,1.0,0.7684594996904193
2020-04-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7552306066749279,0.9604161009200681,1.0,0.82007396970474
2020-04-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.773499771952409,0.9538717399009337,1.0,0.8209102202189911
2020-04-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.814723545050401,0.9751110296615232,1.0,0.8484667589776489
2020-04-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8489102164504713,0.9743794796355832,1.0,0.8613780670591606
2020-04-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8343833633897488,0.996477264440881,1.0,0.8535137876990332
2020-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8363210438726132,1.0420492268928156,1.0,0.8786864276474556
2020-04-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7972107124087994,1.0370353070624934,1.0,0.8600158686122606
2020-04-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.775010618185777,1.0650890109428035,1.0,0.8641647099706584
2020-04-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8139247630832379,1.0620028204330074,1.0,0.8875108312193053
2020-04-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7951973612783139,1.0505879310973751,1.0,0.8718747140187108
2020-04-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7697712491033261,1.0084212275870907,1.0,0.8454016578876429
2020-04-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7848070427892392,1.0482843294509518,1.0,0.8641647099706584
2020-04-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.791336945771951,1.049962326372491,1.0,0.8641028246500831
