as_of,ticker,score,latest_price,ret_1m,ret_3m,ret_6m,ret_12m,vol_3m,rel_volume_1m,drawdown_6m,selected
2026-07-02,MU,1.6520592126456677,975.5599975585938,-0.08320644681773437,1.6520592126456677,2.3351667779009695,7.08913211588253,1.0357883902678893,1.052347994257609,-0.19611724969833477,True
2026-07-02,SNDK,1.5190190250163704,1745.0,0.016686484707676863,1.5190190250163704,6.264174469788525,37.812278370411526,1.1503115712025094,1.4357572970255732,-0.25267665952890794,True
2026-07-02,INTC,1.5057256200888651,120.3499984741211,0.11507456808882921,1.5057256200888651,2.22654158004764,4.266958269800261,0.9731388977118083,0.9494810377778192,-0.14609056059755032,True
2026-07-02,AMD,1.4633461337978213,517.8200073242188,-0.00713266644907129,1.4633461337978213,1.4046624692595695,2.8044229299991423,0.8185606939426678,0.8806950098084739,-0.10860541002386204,True
2026-07-02,DELL,1.3352231339134217,394.32000732421875,-0.0941627586415762,1.3352231339134217,2.105616833827008,2.2885541901898296,0.9717060753599636,0.7388449753565085,-0.15374707151819056,True
2026-07-02,MRVL,1.299810546653557,245.2899932861328,-0.15647035290677846,1.299810546653557,1.8306746660003492,2.2260380458090148,1.0748303451722108,0.5769627736968006,-0.2248206587121453,False
2026-07-02,HUM,1.2474486788310442,396.75,0.23936057033428892,1.2474486788310442,0.5429679660404019,0.593455029526655,0.44425286158650334,0.9043748903275858,-0.030946248381115704,False
2026-07-02,DDOG,1.1939832254897258,260.3599853515625,-0.03258655434970448,1.1939832254897258,0.8938026872473124,0.9675053408067151,0.8289694493658528,0.5860221871795154,-0.06173197407352993,False
2026-07-02,PANW,1.1663036131525124,348.05999755859375,0.1712093887098307,1.1663036131525124,0.8627775551999028,0.761615519450245,0.5142014996300656,0.958658615560885,-0.01130556439530439,False
2026-07-02,FLEX,1.0055686532049886,136.86000061035156,-0.14156678857364247,1.0055686532049886,1.2192314686863264,1.822437530892635,1.0108345051031051,0.6770365140265201,-0.15555010535314484,False
2026-07-02,CNC,0.9988217698194868,67.86000061035156,0.1311885099464778,0.9988217698194868,0.6466877485547009,0.19788170842946395,0.480355048109407,0.6760380385539364,-0.007168952080592317,False
2026-07-02,CRWD,0.9727949651078036,193.97999572753906,0.009064270228853921,0.9727949651078036,0.63135204874497,0.5768487641208995,0.5273446519383932,0.7458441441180529,-0.00799059045547379,False
2026-07-02,STX,0.9397447130141596,820.1599731445312,-0.11425003663296784,0.9397447130141596,1.9355061429352722,4.701405282269395,0.714607897405968,1.3305358841560089,-0.24980370679288388,False
2026-07-02,FTNT,0.9254466674307029,156.25,0.04964395646478681,0.9254466674307029,0.945585913957983,0.5254319977982533,0.5536763839677522,0.6566841359793099,-0.017171944904425196,False
2026-07-02,WDC,0.8108370412429458,539.0,-0.04254916150995969,0.8108370412429458,2.0637202462986597,7.465862909999693,0.8155893372002875,0.8455810604696988,-0.2777025660890453,False
2026-07-02,HPE,0.7243797937897614,41.22999954223633,-0.2635685598837375,0.7243797937897614,0.729009565769434,1.0551175210881962,0.7054700972300473,0.6479376709362991,-0.2635685598837375,False
2026-07-02,AMAT,0.7065848006761941,603.0399780273438,0.23056829517177713,0.7065848006761941,1.3254325202100095,2.305745435833162,0.7318962217887935,1.1668873205320909,-0.16591980909081083,False
2026-07-02,HOOD,0.6079019023755263,112.7300033569336,0.2786978071030215,0.6079019023755263,-0.023559927788720514,0.22094661671519078,0.7551935845970261,1.2155160082484018,-0.08528070990762082,False
2026-07-02,MRNA,0.5942435355252556,79.76000213623047,0.7475899036563256,0.5942435355252556,1.6228215237238168,1.7800627623393788,0.6896949199338679,1.5440742888368932,0.0,False
2026-07-02,LRCX,0.5839716962282844,351.4100036621094,0.0515760714863327,0.5839716962282844,1.02600339045377,2.649983620247118,0.7458710844909255,1.3204748749019717,-0.18904757447819642,False
