date,equity
2024-01-02,1.0
2024-01-03,1.0
2024-01-04,1.0
2024-01-05,1.0
2024-01-08,1.0
2024-01-09,1.0
2024-01-10,1.0
2024-01-11,1.0
2024-01-12,1.0
2024-01-16,1.0
2024-01-17,1.0
2024-01-18,1.0
2024-01-19,1.0
2024-01-22,1.0
2024-01-23,1.0
2024-01-24,1.0
2024-01-25,1.0
2024-01-26,1.0
2024-01-29,1.0
2024-01-30,1.0
2024-01-31,1.0
2024-02-01,1.0
2024-02-02,1.0
2024-02-05,1.0
2024-02-06,1.0
2024-02-07,1.0
2024-02-08,1.0
2024-02-09,1.0
2024-02-12,1.0
2024-02-13,1.0
2024-02-14,1.0
2024-02-15,1.0
2024-02-16,1.0
2024-02-20,1.0
2024-02-21,1.0
2024-02-22,1.0
2024-02-23,1.0
2024-02-26,1.0
2024-02-27,1.0
2024-02-28,1.0
2024-02-29,1.0
2024-03-01,1.0
2024-03-04,1.0
2024-03-05,1.0
2024-03-06,1.0
2024-03-07,1.0
2024-03-08,1.0
2024-03-11,1.0
2024-03-12,1.0
2024-03-13,1.0
2024-03-14,1.0
2024-03-15,1.0
2024-03-18,1.0
2024-03-19,1.0
2024-03-20,1.0
2024-03-21,1.0
2024-03-22,1.0
2024-03-25,1.0
2024-03-26,1.0
2024-03-27,1.0
2024-03-28,1.0
2024-04-01,1.0
2024-04-02,1.0
2024-04-03,1.0
2024-04-04,1.0
2024-04-05,1.0
2024-04-08,1.0
2024-04-09,1.0
2024-04-10,1.0
2024-04-11,1.0
2024-04-12,1.0
2024-04-15,1.0
2024-04-16,1.0
2024-04-17,1.0
2024-04-18,1.0
2024-04-19,1.0
2024-04-22,1.0
2024-04-23,1.0
2024-04-24,1.0
2024-04-25,1.0
2024-04-26,1.0
2024-04-29,1.0
2024-04-30,1.0
2024-05-01,1.0
2024-05-02,1.0
2024-05-03,1.0
2024-05-06,1.0
2024-05-07,1.0
2024-05-08,1.0
2024-05-09,1.0
2024-05-10,1.0
2024-05-13,1.0
2024-05-14,1.0
2024-05-15,1.0
2024-05-16,1.0
2024-05-17,1.0
2024-05-20,1.0
2024-05-21,1.0
2024-05-22,1.0
2024-05-23,1.0
2024-05-24,1.0
2024-05-28,1.0
2024-05-29,1.0
2024-05-30,1.0
2024-05-31,1.0
2024-06-03,1.0
2024-06-04,1.0
2024-06-05,1.0
2024-06-06,1.0
2024-06-07,1.0
2024-06-10,1.0
2024-06-11,1.0
2024-06-12,1.0
2024-06-13,1.0
2024-06-14,1.0
2024-06-17,1.0
2024-06-18,1.0
2024-06-20,1.0
2024-06-21,1.0
2024-06-24,1.0
2024-06-25,1.0
2024-06-26,1.0
2024-06-27,1.0
2024-06-28,1.0
2024-07-01,1.0
2024-07-02,1.0
2024-07-03,1.0
2024-07-05,0.984359720693724
2024-07-08,1.0147569893030577
2024-07-09,1.013302048929115
2024-07-10,1.0279427770408929
2024-07-11,0.9992360135826409
2024-07-12,1.0072834440147131
2024-07-15,0.9874523340822822
2024-07-16,0.9725069073255218
2024-07-17,0.8973231141700806
2024-07-18,0.9045722143218917
2024-07-19,0.9008602865264815
2024-07-22,0.9160586500213544
2024-07-23,0.9131006408147239
2024-07-24,0.8500258973002262
2024-07-25,0.8411592432851176
2024-07-26,0.8527191941182646
2024-07-29,0.8505034228335144
2024-07-30,0.8338211497317077
2024-07-31,0.887822931339098
2024-08-01,0.865460192040825
2024-08-02,0.8353429619242352
2024-08-05,0.8090005169288819
2024-08-06,0.8328026907866755
2024-08-07,0.8306491833003979
2024-08-08,0.8597698780330639
2024-08-09,0.8602394512447339
2024-08-12,0.8599280605586987
2024-08-13,0.8677127815327433
2024-08-14,0.8658437249068257
2024-08-15,0.8821547505678639
2024-08-16,0.8790274052551502
2024-08-19,0.8906961750512719
2024-08-20,0.8840946293359399
2024-08-21,0.8998008778100609
2024-08-22,0.893573158604948
2024-08-23,0.9093714864892609
2024-08-26,0.908150540370639
2024-08-27,0.909770433981509
2024-08-28,0.8933027249879543
2024-08-29,0.88876936050126
2024-08-30,0.903633254871911
2024-09-03,0.8675496994381605
2024-09-04,0.8651475945188165
2024-09-05,0.8606839363957538
2024-09-06,0.8475248160275302
2024-09-09,0.8534373317096627
2024-09-10,0.860955344710151
2024-09-11,0.8644362616527552
2024-09-12,0.8731005010889077
2024-09-13,0.87316691303714
2024-09-16,0.8778169652984925
2024-09-17,0.8793138834045715
2024-09-18,0.8811459325836486
2024-09-19,0.8796565324829406
2024-09-20,0.88421272415864
2024-09-23,0.8960924545490546
2024-09-24,0.8956625919295372
2024-09-25,0.9007212392142752
2024-09-26,0.9053311406285279
2024-09-27,0.9042460506200428
2024-09-30,0.9120588198491532
2024-10-01,0.9154599871172374
2024-10-02,0.9193059482694561
2024-10-03,0.9356892312675892
2024-10-04,0.9554187542246222
2024-10-07,0.940332873414261
2024-10-08,0.9528590998281382
2024-10-09,0.9617442202839362
2024-10-10,0.9553646412120554
2024-10-11,0.9647874698884
2024-10-14,0.9822431848401704
2024-10-15,0.972596960627524
2024-10-16,0.9862541233276623
2024-10-17,0.9687825085006506
2024-10-18,0.9748266036758583
2024-10-21,0.9834655710543296
2024-10-22,0.9798002847994469
2024-10-23,0.9740792834597682
2024-10-24,0.9902505975848513
2024-10-25,0.9936880685931522
2024-10-28,0.9972914724738132
2024-10-29,1.003672612610532
