strategy,description,rebalance_frequency,top_n,start_date,end_date,initial_capital,final_equity,total_return,cagr,annual_volatility,sharpe,max_drawdown,avg_monthly_turnover,rebalance_count
momentum_6m,Top N stocks by trailing 6-month return,quarterly,5,2014-04-01,2026-03-31,10000.0,193262.70716483795,18.326270716483794,0.2805368610616028,0.32407496365018823,0.8656542236456712,-0.4249714197501674,1.4891361030611343,46
momentum_6m,Top N stocks by trailing 6-month return,bimonthly,5,2014-03-03,2026-03-31,10000.0,185318.16469456654,17.531816469456654,0.27390872800947097,0.3120565800303559,0.8777534124831656,-0.39350332539385047,1.2423427686625106,70
momentum_6m,Top N stocks by trailing 6-month return,monthly,5,2014-02-03,2026-03-31,10000.0,129745.69341561715,11.974569341561715,0.235169133580728,0.3084231745348984,0.7624885319832487,-0.3831836926775959,0.9829659191184543,140
momentum_6m,Top N stocks by trailing 6-month return,bimonthly,10,2014-03-03,2026-03-31,10000.0,124779.62326319871,11.47796232631987,0.23280515168711458,0.269063935662806,0.8652410108906927,-0.3156811808378117,1.2010772342366398,70
momentum_6m,Top N stocks by trailing 6-month return,quarterly,10,2014-04-01,2026-03-31,10000.0,112771.63634937843,10.277163634937843,0.22421485269653507,0.2751351916124193,0.8149261146221699,-0.33978936720242525,1.4098785155264661,46
momentum_3m,Top N stocks by trailing 3-month return,monthly,10,2014-02-03,2026-03-31,10000.0,101913.47921267348,9.191347921267349,0.21083549611360142,0.24870865261306074,0.847720792575793,-0.3344894886086597,1.225784574532931,143
momentum_12m_skip_1m,Top N stocks by 12-month return excluding the latest 1-month move,weekly,5,2014-01-06,2026-03-31,10000.0,89307.8133199699,7.9307813319969895,0.1963986093206478,0.3272258310727919,0.6001928658161422,-0.4045126191903077,0.3147665945039738,585
momentum_12m_skip_1m,Top N stocks by 12-month return excluding the latest 1-month move,weekly,10,2014-01-06,2026-03-31,10000.0,58654.751324193145,4.865475132419315,0.15590584243176475,0.2781140980363789,0.5605823060842151,-0.35639857838809363,0.3106991373905444,586
