strategy,allocation_mode,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,selected_count,cash_contribution,portfolio_value_before_contribution,portfolio_value_before,portfolio_value_after,buy_notional,sell_notional,fees,traded_notional,turnover,target_turnover_threshold,skipped_by_turnover,cash_after,tax
momentum_6m,equal_weight,quarterly,5,22,2015-05-29,2015-06-01,5,2000.0,145121.68342422327,147121.68342422327,146649.5035738917,88178.92761065159,86298.92198836207,122.13449471930956,174477.84959901366,1.1859424493934676,0.0,False,7.240427491244802,0.0
momentum_6m,equal_weight,quarterly,5,23,2015-08-31,2015-09-01,5,2000.0,137800.84961211,139800.84961211,137973.88107361112,111649.50536603437,109800.00811040001,155.01465943350408,221449.5134764344,1.5840355340533763,0.0,False,2.7285124233800673,0.0
momentum_6m,equal_weight,quarterly,5,24,2015-12-01,2015-12-02,5,2000.0,165075.40739932514,167075.40739932514,161082.2145086427,96818.97167722243,100691.64845706167,138.25743409399888,197510.6201342841,1.1821645280338362,0.0,False,77.11393796398465,5660.03392020464
momentum_6m,equal_weight,quarterly,5,25,2016-03-01,2016-03-02,5,2000.0,146336.7538837747,148336.7538837747,149498.8528963912,118498.29416291359,116616.43350073369,164.58030936455307,235114.72766364727,1.5850065577669652,0.0,False,30.672966419528706,0.0
momentum_6m,equal_weight,quarterly,5,26,2016-05-31,2016-06-01,5,2000.0,164536.6247510124,166536.6247510124,169164.63324628895,99825.63212486834,97950.49409429432,138.44328835341386,197776.12621916266,1.187583371014371,0.0,False,17.091647492099383,0.0
momentum_6m,equal_weight,quarterly,5,27,2016-08-31,2016-09-01,5,2000.0,177398.62185401694,179398.62185401694,181519.77781463464,107490.67099036764,105667.19803537222,149.2105083180179,213157.86902573984,1.1881800808882133,0.0,False,44.408184178657166,0.0
momentum_6m,equal_weight,quarterly,5,28,2016-11-30,2016-12-01,5,2000.0,213464.1456423988,215464.1456423988,202319.8276970392,131448.64216082628,137600.0073672224,188.3340546696341,269048.6495280487,1.2486933671766576,0.0,False,40.40664601380598,7967.032689891335
momentum_6m,equal_weight,quarterly,5,29,2017-03-01,2017-03-02,5,2000.0,235390.88298441784,237390.88298441784,231064.82059040532,191010.09433779793,189237.81177175787,266.17353427668905,380247.9061095558,1.6017797369855817,0.0,False,1.9505456970679802,0.0
momentum_6m,equal_weight,quarterly,5,30,2017-05-31,2017-06-01,5,2000.0,261360.41813936993,263360.4181393699,264954.43648488156,105460.6973974205,103606.90643939636,146.3473226857718,209067.60383681685,0.793845959517647,0.0,False,1.8122649871543501,0.0
momentum_6m,equal_weight,quarterly,5,31,2017-08-30,2017-08-31,5,2000.0,270438.62986454,272438.62986454,274894.5695337664,217622.65385434034,215978.47202611552,303.52078811631907,433601.12588045583,1.5915552287722483,0.0,False,54.1096486460043,0.0
momentum_6m,equal_weight,quarterly,5,32,2017-11-29,2017-11-30,5,2000.0,322866.6209464318,324866.6209464318,301537.1352406111,180874.77273358995,202192.25013850877,268.1469160104691,383067.0228720987,1.17915168310032,0.0,False,8.338102396962086,23095.1020351574
momentum_6m,equal_weight,quarterly,5,33,2018-02-27,2018-02-28,5,2000.0,294720.13445678505,296720.13445678505,292515.4944968239,237084.89850827653,235410.50988712767,330.74678587678295,472495.4083954042,1.592394157074701,0.0,False,3.20269537131594,0.0
momentum_6m,equal_weight,quarterly,5,34,2018-05-30,2018-05-31,5,2000.0,310235.1780245569,312235.1780245569,308981.62622346735,124834.92087114844,123017.92380323625,173.49699127206927,247852.8446743847,0.7938017946680287,0.0,False,12.708636187061217,0.0
momentum_6m,equal_weight,quarterly,5,35,2018-08-29,2018-08-30,5,2000.0,330449.7616352606,332449.7616352606,331919.6621096982,265604.16168922407,263968.36153178837,370.7007662547087,529572.5232210124,1.5929399997645972,0.0,False,6.207712496662452,0.0
momentum_6m,equal_weight,quarterly,5,36,2018-11-30,2018-12-03,5,2000.0,282520.7865036941,284520.7865036941,286089.66528635105,225852.26818524802,225977.379942473,316.2807536894047,451829.64812772104,1.5880373932603855,0.0,False,44.74029092869614,1770.2984251035334
momentum_6m,equal_weight,quarterly,5,37,2019-02-27,2019-02-28,5,2000.0,278991.2692409356,280991.2692409356,281129.36850741575,280563.096260277,278946.52895000693,391.6567376471987,559509.6252102839,1.9911993234584562,0.0,False,36.51624301145307,0.0
momentum_6m,equal_weight,quarterly,5,38,2019-05-29,2019-05-30,5,2000.0,279864.64576739917,281864.64576739917,283519.31230160315,281470.83100609254,279828.1295243877,392.90927237133616,561298.9605304803,1.9913776664054432,0.0,False,0.9054889352887017,0.0
momentum_6m,equal_weight,quarterly,5,39,2019-08-30,2019-09-03,5,2000.0,302442.8217455222,304442.8217455222,303402.42484493105,303957.3636403201,302441.9162565869,424.47949592783493,606399.279896907,1.9918330687520178,0.0,False,60.978609274289056,0.0
momentum_6m,equal_weight,quarterly,5,40,2019-11-29,2019-12-02,5,2000.0,305468.6794658173,307468.6794658173,300522.3220824435,305012.4807165074,305407.700856543,427.29412710113525,610420.1815730503,1.9853084959208456,0.0,False,10.104499740876918,2018.8001224678278
momentum_6m,equal_weight,quarterly,5,41,2020-02-28,2020-03-02,5,2000.0,334730.5493881551,336730.5493881551,343355.0380729514,201777.29151577695,200052.30904634233,281.2807203934835,401829.6005621193,1.1933268344444845,0.0,False,3.8413099127747614,0.0
momentum_6m,equal_weight,quarterly,5,42,2020-05-29,2020-06-01,5,2000.0,394044.2154751368,396044.2154751368,393533.7599969913,158345.27643295284,157030.73950489395,220.76321115649276,315376.0159378468,0.7963151678897472,0.0,False,468.541170697379,0.0
momentum_6m,equal_weight,quarterly,5,43,2020-08-31,2020-09-01,5,2000.0,465588.63639769604,467588.63639769604,469726.8732382224,373524.8855314763,371650.29512811196,521.6226264617118,745175.1806595882,1.5936554540769414,0.0,False,72.32814087132545,0.0
momentum_6m,equal_weight,quarterly,5,44,2020-12-01,2020-12-02,5,2000.0,470678.77860893635,472678.77860893635,443788.65973677946,437128.5688490616,470606.45046806504,635.4145135219886,907735.0193171266,1.9204056970539976,0.0,False,5.226057198785497,34909.56918915395
momentum_6m,equal_weight,quarterly,5,45,2021-03-01,2021-03-02,5,2000.0,522992.4361202517,524992.4361202518,523954.3503078664,314649.5290843932,313130.1436062952,439.4457708834819,627779.6726906884,1.19578803330967,0.0,False,46.394808217344405,0.0
momentum_6m,equal_weight,quarterly,5,46,2021-05-28,2021-06-01,5,2000.0,524993.0836809742,526993.0836809742,536838.7550289975,421063.9162197506,419672.77995897166,588.5156873251055,840736.6961787222,1.595346736443469,0.0,False,66.74286011331947,0.0
momentum_6m,equal_weight,quarterly,5,47,2021-08-31,2021-09-01,5,2000.0,571087.202319251,573087.202319251,570989.4077384297,343537.45429156546,341956.201297245,479.8455589121673,685493.6555888104,1.1961419707413758,0.0,False,5.644306880689726,0.0
momentum_6m,equal_weight,quarterly,5,48,2021-12-01,2021-12-02,5,2000.0,576626.8811655061,578626.8811655061,555032.900750467,350263.3831694721,376292.6012230769,508.5891890747843,726555.984392549,1.255655428467262,0.0,False,23.562295266809144,27502.710876143927
momentum_6m,equal_weight,quarterly,5,49,2022-03-01,2022-03-02,5,2000.0,399993.20106925414,401993.20106925414,397654.3512453581,401347.244564397,399969.6387739873,560.921818336869,801316.8833383843,1.993359293657148,0.0,False,85.03468652024037,0.0
momentum_6m,equal_weight,quarterly,5,50,2022-05-31,2022-06-01,5,2000.0,508330.1754370998,510330.1754370998,511889.9869959022,204270.6248707145,202474.14672196304,284.7213401148743,406744.77159267757,0.7970227730396289,0.0,False,3.8351976539001384,0.0
momentum_6m,equal_weight,quarterly,5,51,2022-08-31,2022-09-01,5,2000.0,439501.1385443856,441501.1385443856,436195.5685074675,264485.4116147201,263076.202603742,369.2931299529235,527561.6142184621,1.1949269620409475,0.0,False,225.33305672287605,0.0
momentum_6m,equal_weight,quarterly,5,52,2022-11-30,2022-12-01,5,2000.0,493723.1089472996,495723.1089472996,495875.82491720055,297133.8731918335,295358.87291403837,414.7449222741103,592492.7461058719,1.195209049995811,0.0,False,35.58785665364337,0.0
momentum_6m,equal_weight,quarterly,5,53,2023-03-01,2023-03-02,5,2000.0,455084.7284931833,457084.7284931833,464500.52956026583,456120.7861349953,455049.14063652966,637.8189487400674,911169.926771525,1.9934376932155884,0.0,False,326.1234094479727,0.0
