strategy,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,ticker,shares,price,execution_price,market_value,weight,target_weight,allocation_mode,cash_contribution,cash_after,total_equity,rank_on_signal
momentum_6m,quarterly,5,5,2021-03-31,2021-04-01,TPR,143,36.04153060913086,36.56858402130174,5153.938877105713,0.1908193371380855,0.2,equal_weight,2000.0,7.863120320721176,27009.520913365766,2.0
momentum_6m,quarterly,5,5,2021-03-31,2021-04-01,CASH,0,1.0,,7.863120320721176,0.0002911240205238176,,equal_weight,2000.0,7.863120320721176,27009.520913365766,
momentum_6m,quarterly,5,6,2021-06-30,2021-07-01,DVN,280,23.556541442871094,23.82387214813704,6595.831604003906,0.19799892151348933,0.2,equal_weight,2000.0,16.63700449181528,33312.46227800561,2.0
momentum_6m,quarterly,5,6,2021-06-30,2021-07-01,FANG,84,80.57238006591797,78.46908620610809,6768.079925537109,0.20316960869043,0.2,equal_weight,2000.0,16.63700449181528,33312.46227800561,1.0
momentum_6m,quarterly,5,6,2021-06-30,2021-07-01,GNRC,16,413.4100036621094,414.0,6614.56005859375,0.19856112716594299,0.2,equal_weight,2000.0,16.63700449181528,33312.46227800561,3.0
momentum_6m,quarterly,5,6,2021-06-30,2021-07-01,NUE,74,89.94711303710938,90.27283835338012,6656.086364746094,0.19980769686726949,0.2,equal_weight,2000.0,16.63700449181528,33312.46227800561,4.0
momentum_6m,quarterly,5,6,2021-06-30,2021-07-01,OXY,217,30.697084426879883,30.687740652850277,6661.267320632935,0.19996322292366253,0.2,equal_weight,2000.0,16.63700449181528,33312.46227800561,5.0
momentum_6m,quarterly,5,6,2021-06-30,2021-07-01,CASH,0,1.0,,16.63700449181528,0.0004994228392057281,,equal_weight,2000.0,16.63700449181528,33312.46227800561,
momentum_6m,quarterly,5,7,2021-09-30,2021-10-01,DVN,253,29.449682235717773,28.689638238203653,7450.769605636597,0.20728076417627314,0.2,equal_weight,2000.0,3.779416075373973,35945.30170344415,4.0
momentum_6m,quarterly,5,7,2021-09-30,2021-10-01,FTNT,124,59.599998474121094,58.23400115966797,7390.399810791016,0.20560127361743338,0.2,equal_weight,2000.0,3.779416075373973,35945.30170344415,3.0
momentum_6m,quarterly,5,7,2021-09-30,2021-10-01,IT,23,306.20001220703125,305.4800109863281,7042.600280761719,0.1959254741792005,0.2,equal_weight,2000.0,3.779416075373973,35945.30170344415,2.0
momentum_6m,quarterly,5,7,2021-09-30,2021-10-01,MRNA,20,341.0899963378906,358.3299865722656,6821.7999267578125,0.18978279784765784,0.2,equal_weight,2000.0,3.779416075373973,35945.30170344415,1.0
momentum_6m,quarterly,5,7,2021-09-30,2021-10-01,NVDA,350,20.674150466918945,20.68212371981342,7235.952663421631,0.2013045466447791,0.2,equal_weight,2000.0,3.779416075373973,35945.30170344415,5.0
momentum_6m,quarterly,5,7,2021-09-30,2021-10-01,CASH,0,1.0,,3.779416075373973,0.00010514353465593093,,equal_weight,2000.0,3.779416075373973,35945.30170344415,
momentum_6m,quarterly,5,8,2021-12-31,2022-01-03,AMD,60,150.24000549316406,145.13999938964844,9014.400329589844,0.20645116367014418,0.2,equal_weight,2000.0,9.430759468391358,43663.59660724671,4.0
momentum_6m,quarterly,5,8,2021-12-31,2022-01-03,ANET,240,35.560001373291016,36.022499084472656,8534.400329589844,0.1954580243665364,0.2,equal_weight,2000.0,9.430759468391358,43663.59660724671,1.0
momentum_6m,quarterly,5,8,2021-12-31,2022-01-03,DVN,240,37.15299606323242,35.98712386519834,8916.719055175781,0.2042140306347531,0.2,equal_weight,2000.0,9.430759468391358,43663.59660724671,2.0
momentum_6m,quarterly,5,8,2021-12-31,2022-01-03,PFE,188,44.6290397644043,46.08647406699511,8390.259475708008,0.1921568566872364,0.2,equal_weight,2000.0,9.430759468391358,43663.59660724671,5.0
momentum_6m,quarterly,5,8,2021-12-31,2022-01-03,TSLA,22,399.9266662597656,382.5833435058594,8798.386657714844,0.20150393786513232,0.2,equal_weight,2000.0,9.430759468391358,43663.59660724671,3.0
momentum_6m,quarterly,5,8,2021-12-31,2022-01-03,CASH,0,1.0,,9.430759468391358,0.00021598677619759257,,equal_weight,2000.0,9.430759468391358,43663.59660724671,
momentum_6m,quarterly,5,9,2022-03-31,2022-04-01,APA,247,36.769649505615234,36.072922102345224,9082.103427886963,0.2028776869843632,0.2,equal_weight,2000.0,1.0437327875528553,44766.3987247004,1.0
momentum_6m,quarterly,5,9,2022-03-31,2022-04-01,CF,95,91.10395050048828,93.18549067510025,8654.875297546387,0.19333418689252205,0.2,equal_weight,2000.0,1.0437327875528553,44766.3987247004,4.0
momentum_6m,quarterly,5,9,2022-03-31,2022-04-01,HAL,256,35.349430084228516,34.799670158040826,9049.4541015625,0.20214836036317915,0.2,equal_weight,2000.0,1.0437327875528553,44766.3987247004,5.0
momentum_6m,quarterly,5,9,2022-03-31,2022-04-01,MOS,151,58.841552734375,59.27920733771746,8885.074462890625,0.19847641793862186,0.2,equal_weight,2000.0,1.0437327875528553,44766.3987247004,3.0
momentum_6m,quarterly,5,9,2022-03-31,2022-04-01,OXY,167,54.45417785644531,53.24533362049137,9093.847702026367,0.2031400327274646,0.2,equal_weight,2000.0,1.0437327875528553,44766.3987247004,2.0
momentum_6m,quarterly,5,9,2022-03-31,2022-04-01,CASH,0,1.0,,1.0437327875528553,2.3315093849105248e-05,,equal_weight,2000.0,1.0437327875528553,44766.3987247004,
momentum_6m,quarterly,5,10,2022-06-30,2022-07-01,XOM,105,76.55093383789062,75.84269110353706,8037.848052978516,0.19958367062491786,0.2,equal_weight,2000.0,15.319049639400546,40273.074584765134,3.0
momentum_6m,quarterly,5,10,2022-06-30,2022-07-01,HAL,276,28.88195037841797,28.983033169984036,7971.418304443359,0.19793418770810361,0.2,equal_weight,2000.0,15.319049639400546,40273.074584765134,4.0
momentum_6m,quarterly,5,10,2022-06-30,2022-07-01,MCK,25,323.1672668457031,319.41123159185724,8079.181671142578,0.20061000443703011,0.2,equal_weight,2000.0,15.319049639400546,40273.074584765134,5.0
momentum_6m,quarterly,5,10,2022-06-30,2022-07-01,OXY,143,56.74446487426758,55.77744417803411,8114.458477020264,0.2014859446586647,0.2,equal_weight,2000.0,15.319049639400546,40273.074584765134,1.0
