as_of,asset_type,ticker,shares,latest_price,market_value,weight
2026-06-22,stock,SNDK,126,2273.72998046875,286489.9775390625,0.3505721973152428
2026-06-22,stock,WDC,292,732.6199951171875,213925.03857421875,0.2617758969368704
2026-06-22,stock,TER,271,457.0,123847.0,0.15154915817249134
2026-06-22,stock,LITE,111,893.9299926757812,99226.22918701172,0.1214212011750169
2026-06-22,stock,CIEN,203,460.3299865722656,93446.98727416992,0.11434925557466845
2026-06-22,cash,CASH,0,1.0,271.5503166627876,0.0003322908257101013
