strategy,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,action,ticker,shares,price,notional,fee,allocation_mode,pre_shares,post_shares,purchase_price,realized_pnl,realized_pnl_pct,rank_on_signal
momentum_3m,quarterly,5,7,2021-08-31,2021-09-01,SELL,NUE,39,108.4240787953724,4228.539073019523,2.959977351113666,equal_weight,39,0,97.06355112152585,443.0605792800152,0.11704215993110427,99
momentum_3m,quarterly,5,7,2021-08-31,2021-09-01,BUY,RMD,13,276.3946490005335,3593.1304370069356,2.515191305904855,equal_weight,0,13,,,,4
momentum_3m,quarterly,5,8,2021-12-01,2021-12-02,BUY,DVN,113,31.998250686379404,3615.8023275608725,2.5310616292926107,equal_weight,0,113,,,,4
momentum_3m,quarterly,5,8,2021-12-01,2021-12-02,SELL,DXCM,28,137.0800018310547,3838.2400512695312,2.686768035888672,equal_weight,28,0,132.97500610351562,114.93988037109375,0.030870430826252345,152
momentum_3m,quarterly,5,8,2021-12-01,2021-12-02,BUY,DLTR,27,133.99000549316406,3617.7301483154297,2.5324111038208006,equal_weight,0,27,,,,3
momentum_3m,quarterly,5,8,2021-12-01,2021-12-02,BUY,F,249,14.527703589779723,3617.398193855151,2.5321787356986056,equal_weight,0,249,,,,1
momentum_3m,quarterly,5,8,2021-12-01,2021-12-02,SELL,FTNT,58,61.051998138427734,3541.0158920288086,2.478711124420166,equal_weight,58,0,63.507999420166016,-142.4480743408203,-0.03867231378978716,187
momentum_3m,quarterly,5,8,2021-12-01,2021-12-02,SELL,MRNA,10,301.2900085449219,3012.9000854492188,2.109030059814453,equal_weight,10,0,382.8370056152344,-815.469970703125,-0.21300709146249647,406
momentum_3m,quarterly,5,8,2021-12-01,2021-12-02,SELL,MPWR,8,533.6730708046202,4269.384566436962,2.9885691965058734,equal_weight,8,0,480.6984153286075,423.79724380810194,0.11020351594002872,39
momentum_3m,quarterly,5,8,2021-12-01,2021-12-02,BUY,NVDA,117,31.11569943003582,3640.536833314191,2.548375783319934,equal_weight,0,117,,,,5
momentum_3m,quarterly,5,8,2021-12-01,2021-12-02,SELL,RMD,13,242.55886119974997,3153.2651955967494,2.2072856369177245,equal_weight,13,0,276.3946490005335,-439.8652414101862,-0.12241838951346067,357
momentum_3m,quarterly,5,8,2021-12-01,2021-12-02,BUY,TSLA,9,366.35333251953125,3297.1799926757812,2.308025994873047,equal_weight,0,9,,,,2
momentum_3m,quarterly,5,9,2022-03-01,2022-03-02,BUY,APA,107,33.094427509820555,3541.103743550799,2.4787726204855596,equal_weight,0,107,,,,4
momentum_3m,quarterly,5,9,2022-03-01,2022-03-02,SELL,DVN,40,48.62080992379129,1944.8323969516516,1.3613826778661562,equal_weight,113,73,31.998250686379404,664.9023694964756,0.5194833742735682,5
momentum_3m,quarterly,5,9,2022-03-01,2022-03-02,SELL,DLTR,27,133.25,3597.75,2.518425,equal_weight,27,0,133.99000549316406,-19.980148315429688,-0.0055228409793730195,175
momentum_3m,quarterly,5,9,2022-03-01,2022-03-02,SELL,F,249,13.104715123788505,3263.0740658233376,2.284151846076336,equal_weight,249,0,14.527703589779723,-354.3241280318134,-0.09794999307339218,340
momentum_3m,quarterly,5,9,2022-03-01,2022-03-02,BUY,HAL,117,30.154224516316315,3528.044268409009,2.469630987886306,equal_weight,0,117,,,,2
momentum_3m,quarterly,5,9,2022-03-01,2022-03-02,BUY,MOS,76,46.89104628932337,3563.719517988576,2.494603662592003,equal_weight,0,76,,,,3
momentum_3m,quarterly,5,9,2022-03-01,2022-03-02,SELL,NVDA,117,23.685222229370265,2771.171000836321,1.9398197005854247,equal_weight,117,0,31.11569943003582,-869.3658324778698,-0.23880154831078468,418
momentum_3m,quarterly,5,9,2022-03-01,2022-03-02,BUY,OXY,78,45.36860161096728,3538.750925655448,2.4771256479588137,equal_weight,0,78,,,,1
