date,ticker,action,reason,score,selected,currently_held,current_shares,current_weight,target_weight,weight_gap,latest_price,allocation_mode,rebalance_frequency,top_n
2020-07-02,DXCM,BUY,New target holding from latest signal,0.8568237625899962,True,False,0,0.0,0.2,0.2,101.8375015258789,equal_weight,quarterly,5
2020-07-02,REGN,BUY,New target holding from latest signal,0.6672025014597756,True,False,0,0.0,0.2,0.2,617.35107421875,equal_weight,quarterly,5
2020-07-02,NVDA,BUY,New target holding from latest signal,0.6043334765597703,True,False,0,0.0,0.2,0.2,9.5679292678833,equal_weight,quarterly,5
2020-07-02,PYPL,BUY,New target holding from latest signal,0.600090219382353,True,False,0,0.0,0.2,0.2,175.68844604492188,equal_weight,quarterly,5
2020-07-02,AMZN,BUY,New target holding from latest signal,0.522805499373814,True,False,0,0.0,0.2,0.2,144.51499938964844,equal_weight,quarterly,5
2020-07-06,DXCM,HOLD,Current holding remains close to target weight,0.9349794173793773,True,True,20,0.20979286021902077,0.2,-0.00979286021902076,105.79499816894531,equal_weight,quarterly,5
2020-07-06,REGN,HOLD,Current holding remains close to target weight,0.6991275630351981,True,True,3,0.18504833969846643,0.2,0.014951660301533581,622.1116943359375,equal_weight,quarterly,5
2020-07-06,NVDA,HOLD,Current holding remains close to target weight,0.668932917422921,True,True,208,0.2019824437381638,0.2,-0.0019824437381637805,9.793878555297852,equal_weight,quarterly,5
2020-07-06,AMZN,HOLD,Current holding remains close to target weight,0.6304475258921387,True,True,14,0.21217526265546593,0.2,-0.012175262655465924,152.8520050048828,equal_weight,quarterly,5
2020-07-06,PYPL,HOLD,Current holding remains close to target weight,0.6198969319520642,True,True,11,0.19050213993225373,0.2,0.009497860067746278,174.66729736328125,equal_weight,quarterly,5
2020-07-07,DXCM,HOLD,Current holding remains close to target weight,0.8844195539631696,True,True,20,0.21038605573722255,0.2,-0.010386055737222538,106.46499633789062,equal_weight,quarterly,5
2020-07-07,REGN,HOLD,Current holding remains close to target weight,0.7240006552225651,True,True,3,0.18841080224911283,0.2,0.011589197750887181,635.6300659179688,equal_weight,quarterly,5
2020-07-07,NVDA,HOLD,Current holding remains close to target weight,0.6674528507994706,True,True,206,0.20000194457068238,0.2,-1.944570682366198e-06,9.826229095458984,equal_weight,quarterly,5
2020-07-07,PYPL,HOLD,Current holding remains close to target weight,0.6091495399937008,True,True,12,0.20838963324752377,0.2,-0.008389633247523759,175.7578582763672,equal_weight,quarterly,5
2020-07-07,EBAY,BUY,New target holding from latest signal,0.60618683517941,True,False,0,0.0,0.2,0.2,51.602054595947266,equal_weight,quarterly,5
2020-07-07,AMZN,SELL,Ticker is no longer selected by the signal,0.576620713136393,False,True,13,0.19267798050896742,0.0,-0.19267798050896742,150.00599670410156,equal_weight,quarterly,5
2020-07-08,DXCM,HOLD,Current holding remains close to target weight,0.8799308320961594,True,True,19,0.2000645887668717,0.2,-6.458876687168158e-05,108.77749633789062,equal_weight,quarterly,5
2020-07-08,REGN,HOLD,Current holding remains close to target weight,0.7161310135119867,True,True,3,0.1844323756941531,0.2,0.015567624305846905,635.094482421875,equal_weight,quarterly,5
2020-07-08,NVDA,HOLD,Current holding remains close to target weight,0.7049601932069138,True,True,205,0.20179251728755523,0.2,-0.001792517287555223,10.168891906738281,equal_weight,quarterly,5
2020-07-08,PYPL,HOLD,Current holding remains close to target weight,0.6556032340477249,True,True,12,0.20910186063256983,0.2,-0.00910186063256982,180.01101684570312,equal_weight,quarterly,5
2020-07-08,EBAY,HOLD,Current holding remains close to target weight,0.6493488719005676,True,True,40,0.20425595141659947,0.2,-0.004255951416599457,52.75178527832031,equal_weight,quarterly,5
2020-07-09,DXCM,HOLD,Current holding remains close to target weight,0.8886935988910931,True,True,19,0.1998270447457131,0.2,0.0001729552542868995,110.125,equal_weight,quarterly,5
2020-07-09,NVDA,HOLD,Current holding remains close to target weight,0.7505756890333604,True,True,205,0.2047966366637238,0.2,-0.004796636663723791,10.460542678833008,equal_weight,quarterly,5
2020-07-09,AMZN,BUY,New target holding from latest signal,0.6821777830290063,True,False,0,0.0,0.2,0.2,159.13150024414062,equal_weight,quarterly,5
2020-07-09,EBAY,HOLD,Current holding remains close to target weight,0.6771810787839818,True,True,40,0.2048025011943017,0.2,-0.0048025011943017,53.61181640625,equal_weight,quarterly,5
2020-07-09,REGN,HOLD,Current holding remains close to target weight,0.6751999116867635,True,True,3,0.18204174998679107,0.2,0.017958250013208943,635.3821411132812,equal_weight,quarterly,5
2020-07-09,PYPL,SELL,Ticker is no longer selected by the signal,0.6386155065964454,False,True,12,0.20818409062241539,0.0,-0.20818409062241539,181.65675354003906,equal_weight,quarterly,5
2020-07-10,DXCM,HOLD,Current holding remains close to target weight,0.8374221874790946,True,True,19,0.20103575582457542,0.2,-0.0010357558245754073,109.91000366210938,equal_weight,quarterly,5
2020-07-10,NVDA,HOLD,Current holding remains close to target weight,0.7266566128355734,True,True,203,0.2038456830726355,0.2,-0.0038456830726354974,10.430929183959961,equal_weight,quarterly,5
2020-07-10,EBAY,HOLD,Current holding remains close to target weight,0.6986368765493882,True,True,39,0.201453185262269,0.2,-0.00145318526226898,53.657081604003906,equal_weight,quarterly,5
2020-07-10,AMZN,HOLD,Current holding remains close to target weight,0.6832803303003574,True,True,14,0.2156405853797893,0.2,-0.015640585379789296,160.0,equal_weight,quarterly,5
2020-07-10,NFLX,BUY,New target holding from latest signal,0.6347791814777968,True,False,0,0.0,0.2,0.2,54.87300109863281,equal_weight,quarterly,5
2020-07-10,REGN,SELL,Ticker is no longer selected by the signal,0.6190572249220307,False,True,3,0.17783820934652209,0.0,-0.17783820934652209,615.7739868164062,equal_weight,quarterly,5
2020-07-13,DXCM,HOLD,Current holding remains close to target weight,0.7034555658988382,True,True,19,0.1941302242817383,0.2,0.005869775718261722,101.05750274658203,equal_weight,quarterly,5
2020-07-13,EBAY,HOLD,Current holding remains close to target weight,0.6847253366590251,True,True,38,0.2027754019313606,0.2,-0.0027754019313605827,52.7789421081543,equal_weight,quarterly,5
2020-07-13,AMZN,HOLD,Current holding remains close to target weight,0.6482933120565715,True,True,13,0.20398867354774558,0.2,-0.003988673547745569,155.1999969482422,equal_weight,quarterly,5
2020-07-13,NVDA,HOLD,Current holding remains close to target weight,0.6474876192430765,True,True,200,0.20232850890517248,0.2,-0.0023285089051724717,10.005898475646973,equal_weight,quarterly,5
2020-07-13,REGN,BUY,New target holding from latest signal,0.6147452540457095,True,False,0,0.0,0.2,0.2,610.8348999023438,equal_weight,quarterly,5
2020-07-13,NFLX,SELL,Ticker is no longer selected by the signal,0.5970217652803527,False,True,37,0.19658276142605602,0.0,-0.19658276142605602,52.54999923706055,equal_weight,quarterly,5
2020-07-14,DXCM,HOLD,Current holding remains close to target weight,0.7399084239722931,True,True,20,0.20428024939728262,0.2,-0.0042802493972826094,102.58499908447266,equal_weight,quarterly,5
2020-07-14,EBAY,HOLD,Current holding remains close to target weight,0.7151304740551014,True,True,38,0.20236189889797537,0.2,-0.002361898897975362,53.485076904296875,equal_weight,quarterly,5
2020-07-14,REGN,HOLD,Current holding remains close to target weight,0.6922125118005902,True,True,3,0.18996576854632533,0.2,0.010034231453674686,635.9772338867188,equal_weight,quarterly,5
2020-07-14,NVDA,HOLD,Current holding remains close to target weight,0.6490106223714887,True,True,198,0.20363023745000142,0.2,-0.0036302374500014056,10.32914924621582,equal_weight,quarterly,5
2020-07-14,AMZN,HOLD,Current holding remains close to target weight,0.6306243638473608,True,True,13,0.19959067285276946,0.2,0.0004093271472305482,154.1999969482422,equal_weight,quarterly,5
